title,artists
"81 Million Votes, My Ass",The Truth Bombers & Kari Lake
Fast Car,Luke Combs
Last Night,Morgan Wallen
Take Two,BTS
Need A Favor,Jelly Roll
Save Me (with Lainey Wilson),Jelly Roll
Flowers,Miley Cyrus
Son,Mitch Rossell
Let Me In,EXO
Thank God I Do,Lauren Daigle
Calm Down,Rema & Selena Gomez
Bust a Move,Young MC
Thinkin’ Bout Me,Morgan Wallen
Funky Cold Medina,Tone-Loc
Son Of A Sinner,Jelly Roll
Dance The Night,Dua Lipa
Area Codes,Kali
Stand By Me (feat. Morgan Wallen),Lil Durk
Pound Town 2,"Sexyy Red, Nicki Minaj & Tay Keith"
All My Life (feat. J. Cole),Lil Durk
TRUSTFALL,P!nk
Wild Thing,Tone-Loc
Favorite Song,Toosii
Thicc As Thieves,Lauren Alaina & Lainey Wilson
Cruel Summer,Taylor Swift
Eyes Closed,Ed Sheeran
Thank God,Kane Brown & Katelyn Brown
Thought You Should Know,Morgan Wallen
Rode Hard,Danae Hays
Heart Like A Truck,Lainey Wilson
Dancin’ In The Country,Tyler Hubbard
Love You Anyway,Luke Combs
Religiously,Bailey Zimmerman
Karma,Taylor Swift
Something in the Orange (Z&E's Version),Zach Bryan
Can She Have This Dance,Drew Baldridge
Tennessee Orange,Megan Moroney
Heaven,Niall Horan
Anti-Hero,Taylor Swift
Mourning,Post Malone
Praise You Anywhere,Brandon Lake
Rock and A Hard Place,Bailey Zimmerman
Next Thing You Know,Jordan Davis
Watermelon Moonshine,Lainey Wilson
Euphoria,BTS
Bury Me in Georgia (Single Edit),Kane Brown
Chemical,Post Malone
Am I Dreaming,"Metro Boomin, A$AP Rocky & Roisee"
One Thing At A Time,Morgan Wallen
wait in the truck,HARDY & Lainey Wilson
Tennessee Whiskey,Chris Stapleton
Daylight,David Kushner
VULGAR,Sam Smith & Madonna
Unstoppable,Sia
Sure Thing,Miguel
If You Were Mine,Miranda Lambert & Leon Bridges
Waffle House,Jonas Brothers
Wasted On You,Morgan Wallen
Oklahoma Smokeshow,Zach Bryan
Peaches,Jack Black
Hip Hop Hooray (Re-recorded Version),Naughty By Nature
Shivers,Ed Sheeran
Cupid (Twin Ver.),FIFTY FIFTY
Dial Drunk,Noah Kahan
Halfway To Hell,Jelly Roll
Try That In A Small Town,Jason Aldean
To the Bar,Cooper Alan
Ella Baila Sola,Eslabon Armado & Peso Pluma
Makeba,Jain
O.P.P. (Re-recorded Version),Naughty By Nature
Fast Car,Tracy Chapman
Drinkaby,Cole Swindell
WHERE SHE GOES,Bad Bunny
You Proof,Morgan Wallen
TRUCK BED,HARDY
Gratitude,Brandon Lake
Karma (feat. Ice Spice),Taylor Swift
Take Me Out,Carrie Underwood
One Margarita (Margarita Song),"That Chick Angel, Casa Di & Steve Terrell"
I Ain't Worried,OneRepublic
Slut Me Out,NLE Choppa
Put It On Da Floor Again (feat. Cardi B),Latto
Memory Lane,Old Dominion
red flag collector,Kelly Clarkson
Life Goes On (feat. Luke Combs),Ed Sheeran
But I Got A Beer In My Hand,Luke Bryan
Whiskey Glasses,Morgan Wallen
Your Heart Or Mine,Jon Pardi
Standing Room Only,Tim McGraw
Snooze,SZA
Perfect,Ed Sheeran
You Need To Calm Down,Taylor Swift
Hits Different,Taylor Swift
HAPPY,NF
Chasin' You,Morgan Wallen
Sugar Babies,Spoon
How Do I Say Goodbye,Dean Lewis
Beat You There,Will Dempsey
PLEBADA,El Alfa & Peso Pluma
